order_id,order_date,product_id,product_name,category,price,quantity,revenue,customer_id,customer_segment,region
ORD10000,2023-02-27,PROD011,"Tablet 10""",Electronics,449.99,1,449.99,CUST1102,Individual,South
ORD10001,2023-03-13,PROD004,"Monitor 27""",Electronics,399.99,3,1199.97,CUST4016,Enterprise,Central
ORD10002,2023-10-30,PROD002,Wireless Mouse,Electronics,29.99,1,29.99,CUST1122,Enterprise,South
ORD10003,2023-09-16,PROD004,"Monitor 27""",Electronics,399.99,1,399.99,CUST3465,Enterprise,Central
ORD10004,2023-11-29,PROD004,"Monitor 27""",Electronics,399.99,1,399.99,CUST2718,Small Business,West
ORD10005,2023-05-23,PROD010,Phone Case,Accessories,24.99,1,24.99,CUST4315,Enterprise,South
ORD10006,2023-08-05,PROD012,Smart Watch,Electronics,299.99,1,299.99,CUST2393,Individual,South
ORD10007,2023-06-22,PROD004,"Monitor 27""",Electronics,399.99,2,799.98,CUST1418,Enterprise,West
ORD10008,2023-07-03,PROD002,Wireless Mouse,Electronics,29.99,1,29.99,CUST4471,Individual,Central
ORD10009,2023-01-23,PROD005,Keyboard Mechanical,Electronics,149.99,1,149.99,CUST3988,Education,Central
ORD10010,2023-07-13,PROD002,Wireless Mouse,Electronics,29.99,1,29.99,CUST1322,Individual,Central
ORD10011,2023-07-05,PROD015,Cable Organizer,Accessories,14.99,3,44.97,CUST3364,Small Business,North
ORD10012,2023-12-05,PROD001,"Laptop Pro 15""",Electronics,1299.99,3,3899.97,CUST2185,Enterprise,South
ORD10013,2023-02-21,PROD014,Desk Lamp,Furniture,59.99,1,59.99,CUST2556,Individual,West
ORD10014,2023-07-06,PROD011,"Tablet 10""",Electronics,449.99,1,449.99,CUST1666,Individual,East
ORD10015,2023-12-10,PROD004,"Monitor 27""",Electronics,399.99,2,799.98,CUST4836,Enterprise,Central
ORD10016,2023-03-29,PROD011,"Tablet 10""",Electronics,449.99,1,449.99,CUST3187,Small Business,South
ORD10017,2023-07-14,PROD008,Webcam HD,Electronics,79.99,1,79.99,CUST2105,Small Business,East
ORD10018,2023-01-29,PROD014,Desk Lamp,Furniture,59.99,1,59.99,CUST1938,Enterprise,East
ORD10019,2023-05-18,PROD007,Standing Desk,Furniture,599.99,1,599.99,CUST1271,Small Business,Central
ORD10020,2023-06-11,PROD015,Cable Organizer,Accessories,14.99,1,14.99,CUST1870,Education,West
ORD10021,2023-11-26,PROD015,Cable Organizer,Accessories,14.99,1,14.99,CUST2084,Small Business,South
ORD10022,2023-10-15,PROD012,Smart Watch,Electronics,299.99,1,299.99,CUST4059,Education,Central
ORD10023,2023-07-05,PROD007,Standing Desk,Furniture,599.99,1,599.99,CUST1898,Small Business,Central
ORD10024,2023-02-16,PROD008,Webcam HD,Electronics,79.99,1,79.99,CUST4095,Enterprise,North
ORD10025,2023-11-18,PROD003,USB-C Cable,Accessories,19.99,2,39.98,CUST3787,Education,Central
ORD10026,2023-07-17,PROD002,Wireless Mouse,Electronics,29.99,1,29.99,CUST2563,Education,Central
ORD10027,2023-10-11,PROD005,Keyboard Mechanical,Electronics,149.99,1,149.99,CUST1047,Enterprise,Central
ORD10028,2023-05-17,PROD013,Backpack,Accessories,89.99,1,89.99,CUST4148,Individual,North
ORD10029,2023-08-11,PROD005,Keyboard Mechanical,Electronics,149.99,1,149.99,CUST1647,Education,North
ORD10030,2023-05-15,PROD012,Smart Watch,Electronics,299.99,1,299.99,CUST4980,Small Business,Central
ORD10031,2023-02-24,PROD015,Cable Organizer,Accessories,14.99,1,14.99,CUST4565,Individual,Central
ORD10032,2023-04-12,PROD010,Phone Case,Accessories,24.99,1,24.99,CUST1626,Individual,South
ORD10033,2023-09-29,PROD009,Headphones,Electronics,199.99,2,399.98,CUST4762,Enterprise,Central
ORD10034,2023-09-08,PROD006,Desk Chair,Furniture,249.99,3,749.97,CUST1079,Enterprise,East
ORD10035,2023-06-07,PROD015,Cable Organizer,Accessories,14.99,2,29.98,CUST1980,Enterprise,South
ORD10036,2023-10-18,PROD015,Cable Organizer,Accessories,14.99,1,14.99,CUST1350,Education,North
ORD10037,2023-09-30,PROD013,Backpack,Accessories,89.99,1,89.99,CUST4136,Small Business,South
ORD10038,2023-09-01,PROD011,"Tablet 10""",Electronics,449.99,1,449.99,CUST4878,Small Business,East
ORD10039,2023-11-07,PROD009,Headphones,Electronics,199.99,1,199.99,CUST1867,Small Business,East
ORD10040,2023-12-10,PROD007,Standing Desk,Furniture,599.99,1,599.99,CUST2794,Education,North
ORD10041,2023-04-26,PROD004,"Monitor 27""",Electronics,399.99,1,399.99,CUST1262,Individual,North
ORD10042,2023-10-11,PROD010,Phone Case,Accessories,24.99,2,49.98,CUST1902,Enterprise,North
ORD10043,2023-11-20,PROD012,Smart Watch,Electronics,299.99,3,899.97,CUST1276,Enterprise,East
ORD10044,2023-09-21,PROD002,Wireless Mouse,Electronics,29.99,1,29.99,CUST1974,Individual,West
ORD10045,2023-10-04,PROD004,"Monitor 27""",Electronics,399.99,2,799.98,CUST4831,Education,South
ORD10046,2023-08-31,PROD013,Backpack,Accessories,89.99,1,89.99,CUST4307,Education,South
ORD10047,2023-02-19,PROD002,Wireless Mouse,Electronics,29.99,1,29.99,CUST3699,Education,East
ORD10048,2023-07-30,PROD007,Standing Desk,Furniture,599.99,1,599.99,CUST2912,Enterprise,North
ORD10049,2023-07-26,PROD001,"Laptop Pro 15""",Electronics,1299.99,1,1299.99,CUST3982,Individual,North
ORD10050,2023-04-09,PROD004,"Monitor 27""",Electronics,399.99,3,1199.97,CUST1779,Education,South
ORD10051,2023-04-04,PROD007,Standing Desk,Furniture,599.99,1,599.99,CUST2140,Education,South
ORD10052,2023-02-08,PROD014,Desk Lamp,Furniture,59.99,2,119.98,CUST2815,Enterprise,North
ORD10053,2023-10-04,PROD011,"Tablet 10""",Electronics,449.99,2,899.98,CUST4969,Enterprise,South
ORD10054,2023-07-28,PROD003,USB-C Cable,Accessories,19.99,1,19.99,CUST2989,Education,South
ORD10055,2023-07-25,PROD014,Desk Lamp,Furniture,59.99,2,119.98,CUST4696,Enterprise,South
ORD10056,2023-01-02,PROD007,Standing Desk,Furniture,599.99,1,599.99,CUST2599,Individual,West
ORD10057,2023-08-05,PROD005,Keyboard Mechanical,Electronics,149.99,1,149.99,CUST3853,Education,South
ORD10058,2023-06-01,PROD004,"Monitor 27""",Electronics,399.99,1,399.99,CUST1891,Enterprise,Central
ORD10059,2023-10-05,PROD012,Smart Watch,Electronics,299.99,2,599.98,CUST2284,Enterprise,North
ORD10060,2023-09-02,PROD010,Phone Case,Accessories,24.99,1,24.99,CUST3059,Small Business,North
ORD10061,2023-02-11,PROD009,Headphones,Electronics,199.99,1,199.99,CUST4487,Small Business,North
ORD10062,2023-02-04,PROD010,Phone Case,Accessories,24.99,2,49.98,CUST3765,Small Business,West
ORD10063,2023-10-19,PROD002,Wireless Mouse,Electronics,29.99,2,59.98,CUST3435,Enterprise,Central
